"raceId","Year","circuitId","name","Country","Fastest Time"
1087,2022,13,"Circuit de Spa-Francorchamps","Belgium",109.354
218,1997,13,"Circuit de Spa-Francorchamps","Belgium",112.692
236,1996,13,"Circuit de Spa-Francorchamps","Belgium",113.067
12,2009,13,"Circuit de Spa-Francorchamps","Belgium",107.263
1110,2023,13,"Circuit de Spa-Francorchamps","Belgium",107.305
891,2013,13,"Circuit de Spa-Francorchamps","Belgium",110.756
980,2017,13,"Circuit de Spa-Francorchamps","Belgium",106.577
1022,2019,13,"Circuit de Spa-Francorchamps","Belgium",106.409
960,2016,13,"Circuit de Spa-Francorchamps","Belgium",111.583
203,1998,13,"Circuit de Spa-Francorchamps","Belgium",123.766
1063,2021,13,"Circuit de Spa-Francorchamps","Belgium",207.071
103,2004,13,"Circuit de Spa-Francorchamps","Belgium",105.108
349,2010,13,"Circuit de Spa-Francorchamps","Belgium",109.069
1001,2018,13,"Circuit de Spa-Francorchamps","Belgium",106.286
937,2015,13,"Circuit de Spa-Francorchamps","Belgium",112.416
186,1999,13,"Circuit de Spa-Francorchamps","Belgium",113.955
1023,2019,14,"Autodromo Nazionale di Monza","Italy",81.779
1002,2018,14,"Autodromo Nazionale di Monza","Italy",82.497
48,2007,14,"Autodromo Nazionale di Monza","Italy",82.871
1038,2020,14,"Autodromo Nazionale di Monza","Italy",82.746
350,2010,14,"Autodromo Nazionale di Monza","Italy",84.139
237,1996,14,"Autodromo Nazionale di Monza","Italy",86.11
853,2011,14,"Autodromo Nazionale di Monza","Italy",86.187
961,2016,14,"Autodromo Nazionale di Monza","Italy",85.34
31,2008,14,"Autodromo Nazionale di Monza","Italy",88.047
171,2000,14,"Autodromo Nazionale di Monza","Italy",85.595
1089,2022,14,"Autodromo Nazionale di Monza","Italy",84.03
13,2009,14,"Autodromo Nazionale di Monza","Italy",84.739
85,2005,14,"Autodromo Nazionale di Monza","Italy",81.504
1065,2021,14,"Autodromo Nazionale di Monza","Italy",84.812
872,2012,14,"Autodromo Nazionale di Monza","Italy",87.239
892,2013,14,"Autodromo Nazionale di Monza","Italy",85.849
187,1999,14,"Autodromo Nazionale di Monza","Italy",85.579
219,1997,14,"Autodromo Nazionale di Monza","Italy",84.808
981,2017,14,"Autodromo Nazionale di Monza","Italy",83.361
912,2014,14,"Autodromo Nazionale di Monza","Italy",88.004
138,2002,14,"Autodromo Nazionale di Monza","Italy",83.657
121,2003,14,"Autodromo Nazionale di Monza","Italy",81.832
155,2001,14,"Autodromo Nazionale di Monza","Italy",85.073
104,2004,14,"Autodromo Nazionale di Monza","Italy",81.046
67,2006,14,"Autodromo Nazionale di Monza","Italy",82.559
938,2015,14,"Autodromo Nazionale di Monza","Italy",86.672
204,1998,14,"Autodromo Nazionale di Monza","Italy",85.139
982,2017,15,"Marina Bay Street Circuit","Singapore",105.008
32,2008,15,"Marina Bay Street Circuit","Singapore",105.599
351,2010,15,"Marina Bay Street Circuit","Singapore",107.976
913,2014,15,"Marina Bay Street Circuit","Singapore",110.417
1091,2022,15,"Marina Bay Street Circuit","Singapore",106.458
893,2013,15,"Marina Bay Street Circuit","Singapore",108.574
854,2011,15,"Marina Bay Street Circuit","Singapore",108.454
939,2015,15,"Marina Bay Street Circuit","Singapore",110.041
1003,2018,15,"Marina Bay Street Circuit","Singapore",101.905
873,2012,15,"Marina Bay Street Circuit","Singapore",111.033
962,2016,15,"Marina Bay Street Circuit","Singapore",107.187
14,2009,15,"Marina Bay Street Circuit","Singapore",108.24
1024,2019,15,"Marina Bay Street Circuit","Singapore",102.301
33,2008,16,"Fuji Speedway","Japan",78.426
50,2007,16,"Fuji Speedway","Japan",88.193
862,2012,17,"Shanghai International Circuit","China",99.96
89,2005,17,"Shanghai International Circuit","China",93.242
843,2011,17,"Shanghai International Circuit","China",98.993
3,2009,17,"Shanghai International Circuit","China",112.592
34,2008,17,"Shanghai International Circuit","China",96.325
105,2004,17,"Shanghai International Circuit","China",92.238
51,2007,17,"Shanghai International Circuit","China",97.454
991,2018,17,"Shanghai International Circuit","China",95.785
950,2016,17,"Shanghai International Circuit","China",99.824
882,2013,17,"Shanghai International Circuit","China",96.808
340,2010,17,"Shanghai International Circuit","China",102.061
928,2015,17,"Shanghai International Circuit","China",102.208
1012,2019,17,"Shanghai International Circuit","China",94.742
68,2006,17,"Shanghai International Circuit","China",97.586
903,2014,17,"Shanghai International Circuit","China",100.402
970,2017,17,"Shanghai International Circuit","China",95.378
899,2013,18,"Autódromo José Carlos Pace","Brazil",75.436
70,2006,18,"Autódromo José Carlos Pace","Brazil",72.162
1029,2019,18,"Autódromo José Carlos Pace","Brazil",70.698
35,2008,18,"Autódromo José Carlos Pace","Brazil",73.736
944,2015,18,"Autódromo José Carlos Pace","Brazil",74.832
176,1999,18,"Autódromo José Carlos Pace","Brazil",78.448
987,2017,18,"Autódromo José Carlos Pace","Brazil",71.044
159,2000,18,"Autódromo José Carlos Pace","Brazil",74.755
110,2003,18,"Autódromo José Carlos Pace","Brazil",82.032
52,2007,18,"Autódromo José Carlos Pace","Brazil",72.445
1008,2018,18,"Autódromo José Carlos Pace","Brazil",70.54
192,1998,18,"Autódromo José Carlos Pace","Brazil",79.337
1071,2021,18,"Autódromo José Carlos Pace","Brazil",71.01
879,2012,18,"Autódromo José Carlos Pace","Brazil",78.069
1095,2022,18,"Autódromo José Carlos Pace","Brazil",73.785
354,2010,18,"Autódromo José Carlos Pace","Brazil",73.851
87,2005,18,"Autódromo José Carlos Pace","Brazil",72.268
917,2014,18,"Autódromo José Carlos Pace","Brazil",73.555
107,2004,18,"Autódromo José Carlos Pace","Brazil",71.473
967,2016,18,"Autódromo José Carlos Pace","Brazil",85.305
208,1997,18,"Autódromo José Carlos Pace","Brazil",78.397
143,2001,18,"Autódromo José Carlos Pace","Brazil",75.693
859,2011,18,"Autódromo José Carlos Pace","Brazil",75.324
16,2009,18,"Autódromo José Carlos Pace","Brazil",73.733
225,1996,18,"Autódromo José Carlos Pace","Brazil",81.547
126,2002,18,"Autódromo José Carlos Pace","Brazil",76.079
172,2000,19,"Indianapolis Motor Speedway","USA",74.711
156,2001,19,"Indianapolis Motor Speedway","USA",74.448
98,2004,19,"Indianapolis Motor Speedway","USA",70.399
62,2006,19,"Indianapolis Motor Speedway","USA",72.719
122,2003,19,"Indianapolis Motor Speedway","USA",71.473
139,2002,19,"Indianapolis Motor Speedway","USA",72.738
42,2007,19,"Indianapolis Motor Speedway","USA",73.117
79,2005,19,"Indianapolis Motor Speedway","USA",71.497
188,1999,20,"Nürburgring","Germany",81.282
205,1998,20,"Nürburgring","Germany",80.45
149,2001,20,"Nürburgring","Germany",78.354
45,2007,20,"Nürburgring","Germany",92.853
227,1996,20,"Nürburgring","Germany",81.363
77,2005,20,"Nürburgring","Germany",90.711
116,2003,20,"Nürburgring","Germany",92.621
163,2000,20,"Nürburgring","Germany",82.269
1041,2020,20,"Nürburgring","Germany",88.139
96,2004,20,"Nürburgring","Germany",89.468
57,2006,20,"Nürburgring","Germany",92.099
132,2002,20,"Nürburgring","Germany",92.226
888,2013,20,"Nürburgring","Germany",93.468
850,2011,20,"Nürburgring","Germany",94.302
221,1997,20,"Nürburgring","Germany",78.805
9,2009,20,"Nürburgring","Germany",93.365
56,2006,21,"Autodromo Enzo e Dino Ferrari","Italy",84.569
74,2005,21,"Autodromo Enzo e Dino Ferrari","Italy",81.858
93,2004,21,"Autodromo Enzo e Dino Ferrari","Italy",80.411
210,1997,21,"Autodromo Enzo e Dino Ferrari","Italy",85.531
1077,2022,21,"Autodromo Enzo e Dino Ferrari","Italy",78.446
127,2002,21,"Autodromo Enzo e Dino Ferrari","Italy",84.17
111,2003,21,"Autodromo Enzo e Dino Ferrari","Italy",82.491
228,1996,21,"Autodromo Enzo e Dino Ferrari","Italy",88.931
1053,2021,21,"Autodromo Enzo e Dino Ferrari","Italy",76.702
194,1998,21,"Autodromo Enzo e Dino Ferrari","Italy",89.345
144,2001,21,"Autodromo Enzo e Dino Ferrari","Italy",85.524
160,2000,21,"Autodromo Enzo e Dino Ferrari","Italy",86.523
1043,2020,21,"Autodromo Enzo e Dino Ferrari","Italy",75.484
177,1999,21,"Autodromo Enzo e Dino Ferrari","Italy",88.547
15,2009,22,"Suzuka Circuit","Japan",92.569
1026,2019,22,"Suzuka Circuit","Japan",90.983
69,2006,22,"Suzuka Circuit","Japan",92.676
106,2004,22,"Suzuka Circuit","Japan",92.73
173,2000,22,"Suzuka Circuit","Japan",99.189
123,2003,22,"Suzuka Circuit","Japan",93.408
1092,2022,22,"Suzuka Circuit","Japan",104.411
222,1997,22,"Suzuka Circuit","Japan",98.942
206,1998,22,"Suzuka Circuit","Japan",100.19
157,2001,22,"Suzuka Circuit","Japan",96.45
874,2012,22,"Suzuka Circuit","Japan",95.774
914,2014,22,"Suzuka Circuit","Japan",111.6
1005,2018,22,"Suzuka Circuit","Japan",92.318
190,1999,22,"Suzuka Circuit","Japan",101.319
895,2013,22,"Suzuka Circuit","Japan",94.587
855,2011,22,"Suzuka Circuit","Japan",96.568
88,2005,22,"Suzuka Circuit","Japan",91.54
352,2010,22,"Suzuka Circuit","Japan",93.474
964,2016,22,"Suzuka Circuit","Japan",95.118
984,2017,22,"Suzuka Circuit","Japan",93.144
140,2002,22,"Suzuka Circuit","Japan",96.125
940,2015,22,"Suzuka Circuit","Japan",96.145
239,1996,22,"Suzuka Circuit","Japan",104.043
945,2015,24,"Yas Marina Circuit","UAE",104.517
988,2017,24,"Yas Marina Circuit","UAE",100.65
877,2012,24,"Yas Marina Circuit","UAE",103.964
897,2013,24,"Yas Marina Circuit","UAE",103.434
17,2009,24,"Yas Marina Circuit","UAE",100.279
918,2014,24,"Yas Marina Circuit","UAE",104.496
1096,2022,24,"Yas Marina Circuit","UAE",88.391
968,2016,24,"Yas Marina Circuit","UAE",103.729
1073,2021,24,"Yas Marina Circuit","UAE",86.103
1047,2020,24,"Yas Marina Circuit","UAE",100.926
858,2011,24,"Yas Marina Circuit","UAE",102.612
355,2010,24,"Yas Marina Circuit","UAE",101.274
1030,2019,24,"Yas Marina Circuit","UAE",99.283
1009,2018,24,"Yas Marina Circuit","UAE",100.867
226,1996,25,"Autódromo Juan y Oscar Gálvez","Argentina",89.413
193,1998,25,"Autódromo Juan y Oscar Gálvez","Argentina",88.179
209,1997,25,"Autódromo Juan y Oscar Gálvez","Argentina",87.981
223,1997,26,"Circuito de Jerez","Spain",83.135
238,1996,27,"Autódromo do Estoril","Portugal",82.873
966,2016,32,"Autódromo Hermanos Rodríguez","Mexico",81.134
1007,2018,32,"Autódromo Hermanos Rodríguez","Mexico",78.741
1027,2019,32,"Autódromo Hermanos Rodríguez","Mexico",79.232
986,2017,32,"Autódromo Hermanos Rodríguez","Mexico",78.785
1094,2022,32,"Autódromo Hermanos Rodríguez","Mexico",80.153
1070,2021,32,"Autódromo Hermanos Rodríguez","Mexico",77.774
943,2015,32,"Autódromo Hermanos Rodríguez","Mexico",80.521
1085,2022,34,"Circuit Paul Ricard","France",95.781
1059,2021,34,"Circuit Paul Ricard","France",96.404
1017,2019,34,"Circuit Paul Ricard","France",92.74
996,2018,34,"Circuit Paul Ricard","France",94.225
353,2010,35,"Korean International Circuit","Korea",110.257
894,2013,35,"Korean International Circuit","Korea",101.38
875,2012,35,"Korean International Circuit","Korea",102.037
856,2011,35,"Korean International Circuit","Korea",99.605
1088,2022,39,"Circuit Park Zandvoort","Netherlands",73.652
1064,2021,39,"Circuit Park Zandvoort","Netherlands",71.097
896,2013,68,"Buddh International Circuit","India",87.679
857,2011,68,"Buddh International Circuit","India",87.249
876,2012,68,"Buddh International Circuit","India",88.203
1028,2019,69,"Circuit of the Americas","USA",96.169
985,2017,69,"Circuit of the Americas","USA",97.766
878,2012,69,"Circuit of the Americas","USA",99.347
898,2013,69,"Circuit of the Americas","USA",99.856
1006,2018,69,"Circuit of the Americas","USA",97.392
1093,2022,69,"Circuit of the Americas","USA",98.788
1069,2021,69,"Circuit of the Americas","USA",98.485
916,2014,69,"Circuit of the Americas","USA",101.379
965,2016,69,"Circuit of the Americas","USA",99.877
942,2015,69,"Circuit of the Americas","USA",100.666
933,2015,70,"Red Bull Ring","Austria",71.235
1084,2022,70,"Red Bull Ring","Austria",67.275
113,2003,70,"Red Bull Ring","Austria",68.337
167,2000,70,"Red Bull Ring","Austria",71.783
1032,2020,70,"Red Bull Ring","Austria",65.619
183,1999,70,"Red Bull Ring","Austria",72.107
977,2017,70,"Red Bull Ring","Austria",67.411
997,2018,70,"Red Bull Ring","Austria",66.957
1060,2021,70,"Red Bull Ring","Austria",66.2
1018,2019,70,"Red Bull Ring","Austria",67.475
200,1998,70,"Red Bull Ring","Austria",72.878
220,1997,70,"Red Bull Ring","Austria",71.814
1058,2021,70,"Red Bull Ring","Austria",67.058
1107,2023,70,"Red Bull Ring","Austria",67.012
1031,2020,70,"Red Bull Ring","Austria",67.475
129,2002,70,"Red Bull Ring","Austria",69.298
956,2016,70,"Red Bull Ring","Austria",68.411
